💝永久免费👉公告,#genre#
💝关注💝永久免费,https://vd3.bdstatic.com/mda-peds8afg0055s0nh/720p/h264/1684091269327297304/mda-peds8afg0055s0nh.mp4
💝公众号💝请勿购买,https://vd3.bdstatic.com/mda-pedkenasrhs239n2/sc/cae_h264/1684169079399702313/mda-pedkenasrhs239n2.mp4
💝拾光趣乐屋💝谨防受骗,https://vd3.bdstatic.com/mda-pedgk34za4i2wsk4/720p/h264/1684066802676530455/mda-pedgk34za4i2wsk4.mp4
💝软件💝如果付款,https://vd3.bdstatic.com/mda-pedd0pjr3d230d6a/sc/cae_h264/1684151422563021066/mda-pedd0pjr3d230d6a.mp4
💝下载💝说明上当,https://vd3.bdstatic.com/mda-pecpz9ti97u1z825/720p/h264/1683998885326452646/mda-pecpz9ti97u1z825.mp4
💝APP💝申请退款,https://vd2.bdstatic.com/mda-pe9qn6dabh5ppc6w/720p/h264/1683740514742579726/mda-pe9qn6dabh5ppc6w.mp4
👉👉直播高清流畅,https://vd4.bdstatic.com/mda-pidaps9q6cr1f6yj/sc/cae_h264/1694741205249538787/mda-pidaps9q6cr1f6yj.mp4
👉👉更换享受超清,https://vd4.bdstatic.com/mda-pi947rkiaa76hy2m/sc/cae_h264/1694346919481540355/mda-pi947rkiaa76hy2m.mp4
逆命神医(96集),https://vd3.bdstatic.com/mda-peds8afg0055s0nh/720p/h264/1684091269327297304/mda-peds8afg0055s0nh.mp4
满月之下请相爱(100集),https://vd3.bdstatic.com/mda-pedkenasrhs239n2/sc/cae_h264/1684169079399702313/mda-pedkenasrhs239n2.mp4
落在生命里的光(100集),https://vd3.bdstatic.com/mda-pedgk34za4i2wsk4/720p/h264/1684066802676530455/mda-pedgk34za4i2wsk4.mp4
老街中的痞子(79集),https://vd3.bdstatic.com/mda-pedd0pjr3d230d6a/sc/cae_h264/1684151422563021066/mda-pedd0pjr3d230d6a.mp4
绝世龙帅(100集),https://vd3.bdstatic.com/mda-pectb75a7wb5zsgu/720p/h264/1684008093774139159/mda-pectb75a7wb5zsgu.mp4
浪子情仇(81集),https://vd3.bdstatic.com/mda-pecpz9ti97u1z825/720p/h264/1683998885326452646/mda-pecpz9ti97u1z825.mp4
昆仑强者(80集),https://vd3.bdstatic.com/mda-peck0hfux97mrc79/720p/h264/1683988862148442153/mda-peck0hfux97mrc79.mp4
都市药王医仙（61集）,https://vd4.bdstatic.com/mda-pe9p7t88g3zwkn0w/sc/cae_h264/1683812630561498452/mda-pe9p7t88g3zwkn0w.mp4
功夫医圣（80集）,https://vd2.bdstatic.com/mda-pe9qn6dabh5ppc6w/720p/h264/1683740514742579726/mda-pe9qn6dabh5ppc6w.mp4
古董风云（50集）,https://vd2.bdstatic.com/mda-pe9r3itz1thdrm9i/sc/cae_h264/1683796097451505310/mda-pe9r3itz1thdrm9i.mp4
九境霸主（113集）,https://vd2.bdstatic.com/mda-peasdcyvjkdf5nn6/720p/h264/1683833678473112939/mda-peasdcyvjkdf5nn6.mp4
庄少得罪妻难逃,https://vd4.bdstatic.com/mda-pidasrh5mj9ikfaf/sc/cae_h264/1694741687600700555/mda-pidasrh5mj9ikfaf.mp4
公主大人请赎罪,https://vd4.bdstatic.com/mda-pidaps9q6cr1f6yj/sc/cae_h264/1694741205249538787/mda-pidaps9q6cr1f6yj.mp4
逆袭1990 , https://vd3.bdstatic.com/mda-pic27fqea6gxshu3/sc/cae_h264/1694576577838370273/mda-pic27fqea6gxshu3.mp4
总裁老公身边的真假千金, https://vd4.bdstatic.com/mda-piaru4rz4ea5d3jr/sc/cae_h264/1694527130409630365/mda-piaru4rz4ea5d3jr.mp4
豪门战尊,https://vd4.bdstatic.com/mda-pi947rkiaa76hy2m/sc/cae_h264/1694346919481540355/mda-pi947rkiaa76hy2m.mp4
易容总裁前妻后悔了,https://vd3.bdstatic.com/mda-pi8hhip3c0gwjs8v/sc/cae_h264/1694291223790904476/mda-pi8hhip3c0gwjs8v.mp4
顶级豪门太子爷,https://vd3.bdstatic.com/mda-pi8hhbg56uhtbkxt/sc/cae_h264/1694293569901543683/mda-pi8hhbg56uhtbkxt.mp4
我的老婆是特工,https://vd3.bds 
倩女幽魂妖魔道,http://jsmov2.a.yximgs.com/bs3/video-hls/5232901391302199073_hlsb.m3u8
倩女幽魂人间道,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
倩女幽魂道道道,http://jsmov2.a.yximgs.com/bs3/video-hls/5216294367991385255_hlsb.m3u8
让子弹飞,https://vip.ffzy-play7.com/20230116/11563_b9f44814/index.m3u8
人在囧途,https://vip.ffzy-play.com/20221018/1953_2d6ba500/index.m3u8
人在囧途之泰囧,https://vip.ffzy-play.com/20221018/1951_47e1adc8/index.m3u8
人在囧途之港囧,https://vip.ffzy-play7.com/20230112/11082_fde1a94d/index.m3u8
人在囧途之囧妈,https://vip.ffzy-online.com/20230122/54089_b5925cb9/index.m3u8
无间道1,https://vip.ffzy-play6.com/20221017/13_ddfc1740/index.m3u8
无间道3:终极无间,https://vip.ffzy-play2.com/20221127/1567_f1965b4b/index.m3u8
拆弹专家1,https://vip.ffzy-online.com/20221015/719_80ff87c2/index.m3u8
拆弹专家2,https://vip.ffzy-online.com/20221015/722_e32c42bc/index.m3u8
我不是药神,https://vip.ffzy-play1.com/20221018/478_c3afed66/index.m3u8
卧虎藏龙,https://vip.ffzy-play6.com/20221019/118_1367b8f6/index.m3u8
满城尽带黄金甲,https://vip.ffzy-play2.com/20221022/289_cc1b109c/index.m3u8
大话西游至尊宝,http://nas.dylove.xyz:35455/yy/1382736910
美国队长史蒂夫,http://nas.dylove.xyz:35455/yy/1382736813
变形金刚,http://nas.dylove.xyz:35455/yy/1382736803
赛车,http://cfss.cc/cdn/hy/11279247.flv
死神来了,http://cfss.cc/cdn/hy/11352903.flv
龙在边缘,https://m1.taopianplay1.com:43333/c56b1bc09da3/HD/2022-11-12/1/f4a7dc4b3b04/7e8e1ab30eba/playlist.m3u8
龙在江湖1986,https://m3u8.hmrvideo.com/play/327331b5b36d41e39c49839c1e8dad4a.m3u8
龙在江湖,https://vod.lyhuicheng.com/jqp/Hc2zPWIa/index.m3u8
星光視界,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
亮剑,http://cdn.jdshipin.com:8880/huya.php?id=30080238 
活佛济公,http://cdn.jdshipin.com:8880/huya.php?id=11342400
梦华录,http://cdn.jdshipin.com:8880/huya.php?id=11336590 
繁花,http://cdn.jdshipin.com:8880/huya.php?id=21059580 
笑傲江湖,http://cdn.jdshipin.com:8880/huya.php?id=23865142 
使徒行者,http://cdn.jdshipin.com:8880/huya.php?id=23734256 
洗冤录,http://cdn.jdshipin.com:8880/huya.php?id=23903130 
延禧攻略,http://cdn.jdshipin.com:8880/huya.php?id=26355864 
民兵葛二蛋,http://cdn.jdshipin.com:8880/huya.php?id=11602072 
开端,http://cdn.jdshipin.com:8880/huya.php?id=11342397 
铁道游击队,http://cdn.jdshipin.com:8880/huya.php?id=11352936 
勇敢的心,http://cdn.jdshipin.com:8880/huya.php?id=11602037 
鉴证实录,http://cdn.jdshipin.com:8880/huya.php?id=23903183 
西游记（TVB版）,http://cdn.jdshipin.com:8880/huya.php?id=23728660 
康熙微服私访记,http://cdn.jdshipin.com:8880/huya.php?id=11342418 
楚汉骄雄,http://cdn.jdshipin.com:8880/huya.php?id=23740156 
小李飞刀（焦恩俊版）,http://cdn.jdshipin.com:8880/huya.php?id=11342397 
御赐小仵作,http://cdn.jdshipin.com:8880/huya.php?id=11352948 
笑看风云,http://cdn.jdshipin.com:8880/huya.php?id=23865058 
新水浒传,http://cdn.jdshipin.com:8880/huya.php?id=11342384 
神雕侠侣,http://cdn.jdshipin.com:8880/huya.php?id=23865171 
康熙王朝,http://cdn.jdshipin.com:8880/huya.php?id=11352940 
雍正王朝,http://cdn.jdshipin.com:8880/huya.php?id=11342439 
陆小凤,http://cdn.jdshipin.com:8880/huya.php?id=29808803 
爱情公寓,http://cdn.jdshipin.com:8880/huya.php?id=11336726 
三国演义（94版）,http://cdn.jdshipin.com:8880/huya.php?id=11602081 
新三国演义,http://cdn.jdshipin.com:8880/huya.php?id=11352944 
武林外传,http://cdn.jdshipin.com:8880/huya.php?id=21059598 
刑事侦缉档案,http://cdn.jdshipin.com:8880/huya.php?id=23734169 
芈月传,http://cdn.jdshipin.com:8880/huya.php?id=11352975 
一代枭雄,http://cdn.jdshipin.com:8880/huya.php?id=11342398 
如懿传,http://cdn.jdshipin.com:8880/huya.php?id=29465880 
陀枪师姐,http://cdn.jdshipin.com:8880/huya.php?id=23860039 
问心,http://cdn.jdshipin.com:8880/huya.php?id=11352890
风云雄霸天下,http://cdn.jdshipin.com:8880/huya.php?id=21059612 
全职高手,http://cdn.jdshipin.com:8880/huya.php?id=11352901 
炊事班的故事3,http://cdn.jdshipin.com:8880/huya.php?id=19524135 
地下交通站,http://cdn.jdshipin.com:8880/huya.php?id=11342433 
医馆笑传,http://cdn.jdshipin.com:8880/huya.php?id=11352891 
杨光的快乐生活,http://cdn.jdshipin.com:8880/huya.php?id=11602085 
陈情令,http://cdn.jdshipin.com:8880/huya.php?id=29465862 
神医喜来乐,http://cdn.jdshipin.com:8880/huya.php?id=11601978 
邻里一家亲,http://cdn.jdshipin.com:8880/huya.php?id=11342426 
大宋提刑官,http://cdn.jdshipin.com:8880/huya.php?id=26355856 
鹊刀门传奇,http://cdn.jdshipin.com:8880/huya.php?id=29805872 
陈翔六点半,http://cdn.jdshipin.com:8880/huya.php?id=11274154 
神探狄仁杰1,http://cdn.jdshipin.com:8880/huya.php?id=29528581 
白鹿原,http://cdn.jdshipin.com:8880/huya.php?id=11342416 
长相思,http://cdn.jdshipin.com:8880/huya.php?id=11336593 
你是我的荣耀,http://cdn.jdshipin.com:8880/huya.php?id=11352920 
庆余年,http://cdn.jdshipin.com:8880/huya.php?id=11352960 
铁齿铜牙纪晓岚,http://cdn.jdshipin.com:8880/huya.php?id=11342396 
士兵突击,http://cdn.jdshipin.com:8880/huya.php?id=11342430 
我的团长我的团,http://cdn.jdshipin.com:8880/huya.php?id=11352910  
镖行天下,http://cdn.jdshipin.com:8880/huya.php?id=11352969 
雪中悍刀行,http://cdn.jdshipin.com:8880/huya.php?id=11336592 
寻秦记,http://cdn.jdshipin.com:8880/huya.php?id=23864973 
星汉灿烂·月生沧海,http://cdn.jdshipin.com:8880/huya.php?id=11336591 
将夜,http://cdn.jdshipin.com:8880/huya.php?id=11352885 
铁梨花,http://cdn.jdshipin.com:8880/huya.php?id=11352912 
天龙八部,http://cdn.jdshipin.com:8880/huya.php?id=23903123 
父母爱情,http://cdn.jdshipin.com:8880/huya.php?id=11602071 
大染坊,http://cdn.jdshipin.com:8880/huya.php?id=11602086 
康熙微服私访记,http://zby.xjqxz.top/kxwfxhj/live.m3u8


港澳频道,#genre#

凤凰中文,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://203.205.220.174:80/qctv.fengshows.cn/live/0701phk72.m3u8

凤凰中文,http://kxrj.site:1333/86/fh.php?id=fhzw
凤凰资讯,http://kxrj.site:1333/86/fh.php?id=fhzx
凤凰香港,http://kxrj.site:1333/86/fh.php?id=fhhk
凤凰资讯,http://50.7.234.10:8278/phoenixinfo_hd/playlist.m3u8?tid=MC1C1591244615912446&ct=19225&tsum=a4fd6441d252c98ea603b13ef749a84e
凤凰中文,http://50.7.234.10:8278/phoenixtv_hd/playlist.m3u8?tid=MFBF2713938527139385&ct=19225&tsum=1c8ca0899277714ab83db57245220068
凤凰香港,http://50.7.234.10:8278/hkphoenix_twn/playlist.m3u8?tid=MACA2858291128582911&ct=19225&tsum=0f01288bbaa6c0403d07e96b0a5db4ed
纬来体育,http://114.33.60.49:8563/http/61.219.99.20:8081/hls/67/809/ch28.m3u8
纬来体育,https://cloud.yumixiu768.com:443/tmp/123.m3u8$订阅源
纬来体育,https://cdn.iptv8k.top/dl/jrys.php?id=292&time=20240926215313&ip=111.229.253.40$订阅源
纬来体育,https://cdn.iptv8k.top/dl/jrys.php?id=291&time=20240926215313&ip=111.229.253.40$订阅源
28 AI 智慧賽馬,http://aktv.top/AKTV/live/aktv/28ai/AKTV.m3u8
Channel 5 HD,http://aktv.top/AKTV/live/aktv/channel5hd/AKTV.m3u8
Channel 8 HD,http://aktv.top/AKTV/live/aktv/channel8hd/AKTV.m3u8
